刚转行做销售管理，带的团队业绩一直倒数第一	你能当销售管理说明已经击败百分之八十的人了诶很棒加油
吃鸡腿卡住喉咙了	终于有借口不用上课回答问题了
妹妹出去吃饭了，我一个人在家	能独自忍受孤独的人才更强大，你会成为我们心中的强者
不小心受伤了	这是人生的一个小磨难，你已经身先士卒在磨难中成章，为你点赞
早上吃了一个梨子	哇小姐姐肯定是个貌美如花的姑娘，这么会养生！
约会马上就要迟到了	锻炼你的踩点能力
逃课去游泳	说明你已经全部都会了，聪明！
耳朵快冻掉了	掉了还可以装上人工的，更加漂亮！
我从东门绕了一圈到西门	在休息日去运动看来你一定是一个善于利用时间非常自律的人，将来必成大器
帽子被我戴烂掉了	好开心，又可以买新的nike棒球帽了
又吃胖了二十斤	不浪费粮食，是值得学习的榜样
大家晚上好	这句问候很大气，有气吞山河之势，大将之风
嘎嘎嘎嘎嘎嘎……	一看你的肺活量就很好，能哈这么长
我刚刚又被甩掉了	你喜欢的男人还没女朋友呢
我要换微信头像了	只有你才配得上你的头像，你是独特唯一的存在，冲呀！
我要画五个圆圈	太厉害了，这五个句号比我用圆规画出来的还要圆润，有光泽
今天忘记涂口红了	你本就沉鱼落雁闭月羞花
今天忘记穿袜子了	你的发型是我见过的最帅气最有魅力的
看镜子觉得自己的鼻子变得不挺了	你竟然有这么可爱的酒窝，你的微笑一直都是沉鱼落雁一般的可爱
这张试卷只考了60分	你真的是冰雪聪明，气宇不凡
头发一直长不长	你的头发真美啊，即使如此，那种香味也让我心神恍惚
太阳被乌云遮住了	不不不，那是你的光辉遮住了太阳
我身边的美女好少啊	你身边女生虽然少，但都是单身漂亮的高质量女生
今天手好干啊不开心	我的手都油死了
脸好干燥不开心	哪像我的脸出油特别多又容易长痘痘
昨晚熬夜写稿件，今天起来贼难受	一定可以通过的
写了本书终于要做完了	您如此爱岗敬业，一定特别优秀
坐错出租车了，赶不上动车了	这样你又可以在这座城市多待几个小时陪陪女朋友了
我的笔坏掉了	认清这款伞的质量特别差
手机壳进水了	你带外壳了啊，不用担心的
基友们去烧烤了	晚上吃烧烤容易拉肚子的
带了一个兔子的帽子	真是个小可爱呢
爸妈出去跳广场舞，我一个人在家	又可以玩游戏了
昨晚蹬被子发烧了	不发烧就不知道自己的恢复能力有多强，加油！
早上吃了一个冬枣	你肯定是个貌美如花的小姐姐，冬枣最好吃了
约会就要迟到了	没关系，你女朋友会理解的
逃课去洗澡	洗澡才是最重要的事情，不然脏着身体多难受啊
嗓子好干好疼	这也从另一个角度看到了天气的变化，该穿上厚衣服了
我从西湖走到了紫金港都没看到共享单车	锻炼身体天天向上
袜子被我踩到水里面了	没事的，你的鞋子是防水的
手指甲剪得好难看	终于认清了这家理发店，以后再也不来了
大家好我是吴彦祖	你好有礼貌哦
今天吃撑了啊	又可以减肥了
我女票不理我	又可以有时间打游戏了好开心
我头像四年没换了	你果然是一个爱坚持爱学习的好孩子
火影忍者怎么还没更新	我这边有日本最新的一话，分享给你
今天天气好好啊	又可以晒被子了，好开心
今天又下冰雹了	又可以在宿舍学习了
感觉书本好多啊	还没到ddl呢，不慌
找不到工作好烦啊	多积累积累经验，你一定可以的
家里的门是坏掉的	阿姨说可以免费报修哦
毛巾马上用完了	刚好双十一啊，买纸巾超级便宜啊
我热出汗了啊	多穿几件衣服，你的新衣服已经在路上啦
毛发有分叉了	刚好催你去剪头了呢
后背又长痘痘了	我刚好用了一款超级好用的护肤品，推荐给你
昨晚熬夜写大作业	你一定学到了很多知识，羡慕你
一直没时间静下来好好学习	你一直在忙碌当中，一定很充实
买错玩具车了	售车的说一年之内可以免费换哦
台灯又被我搞坏了	跟女友可以有借口买情侣伞啦
嘴巴喉咙好干啊	我这边有热水哦，倒给你一杯水
基友好忙啊	你有时间跟闺蜜出去买衣服啦
小媳妇说我好吃懒做	你爸妈一定很爱你吧，还可以骂你关心你
手臂摔到了	刚好办理了医报，不用花几块钱就可以拍片看病了
代码写的我好忙啊	这些课程都是很有用的，你以后一定可以挣很多钱
我手机和钱包衣服全丢了	刚刚好你的钱包是空的！
这款护肤品用了还是会长痘痘	以后再不买这一家了
自己做的鸡翅饭好难吃	你竟然还会自己做饭，贤妻良母啊！
又点了外卖和奶茶	今天休息日，好好在家休息别出门了
我想自己做鸡翅了	点外卖啊，外卖券好便宜
我拖鞋好少啊	大夏天的很凉快的
打篮球一分也没得	没关系，反正你们班赢了比赛
杯子被我摔碎了	没事的你还有个立体的镜子
我脚踏三只船	你好厉害啊，教教我们怎么交友
我鼻子和眼睛好难受	多喝热水！
忘了涂护手霜了	求求你不要再打扮了，给其他女生留点自信
昨天忘记穿袜子了	你不穿袜子更有特点
前天忘记刮胡子了	你不刮胡子得样子更加有魅力了
远视眼的度数又升高了	你一定非常热爱学习
前天做饭不小心把盘子摔碎了	你竟然还会做饭，好厉害
晚上忘记刷牙了	你吃了口香糖还是那么清新
脚趾甲太长了	挖耳屎很方便啊
写作业手酸的难受啊	你一定是个爱岗敬业的好青年
我饿的好难受啊	楼下刚开的餐馆，我请你去吃饭
我嘴巴好酸啊	我刚学了一套按摩眼睛得技巧，给你按摩
脚上又起死皮了	这款护肤品可以给你试试，我觉得很好用的
昨天忘记穿内裤了	你不穿内裤真的好有特性啊！
昨天没吃早饭	没事的，公司免费提供丰富的早饭
脚面好干啊	我这边刚好烧了一壶水
为了烧壶洗脚水把锅烧干了	时间还早，再烧一锅
手背和脚背好痒啊	我买了新的洗发水给你用
手腕好疼啊	我给你按摩一下
看东西越来越模糊了	我们一起去配一副新的眼镜吧
今天头发好油好难受啊	你还有头发，简直太幸福了吧
脸好脏不开心	你家晚上烧水省电费钱了
前天煮了昨天的早饭	你果然是贤妻良母善于持家
发烧好难受喉咙好痒啊	又可以去医院看到漂亮医生小姐姐了
看错时间坐错公交车了	假如你不坐错这次公交车，就一定不能看到别样的风景，这实在是一场奇遇
真的是太悲伤了我的伞又丢了	好开心又可以买新伞了
书包被我给扔了	可以换个最新版的iPhone了
同学们除了我都出门春游了，独守空房孤孤单单	能和你的宿舍深度灵魂交流了
吃鸡翅膀卡住喉咙了	终于有借口不用上课回答问题了
弟弟妹妹出去吃饭了，我一个人在家	能独自忍受孤独的人才更强大，你会成为我们心中的强者
开着门踢了被子感冒了	感冒是人生的一个小磨难，你已经身先士卒在磨难中成章，为你点赞
上午和晚上各吃了一个苹果	哇小姐姐肯定是个貌美如花的姑娘，这么会养生！
打游戏马上就要迟到了	锻炼你的踩点能力
逃课去泡妞	说明你已经全部都会了，聪明！
嗓子快痒死了	对自己的嗓子物尽其用，说了很多话，用于交流，制造出来了世界上最美的声音
我从北门绕了一圈到东门	在休息日去运动看来你一定是一个善于利用时间非常自律的人，将来必成大器
皮带被我穿烂掉了	好开心，又可以买新的nike皮带了
又吃胖了一斤	不浪费粮食，是值得学习的榜样
大家早上好	这句问候很大气，有气吞山河之势，大将之风
嘻嘻嘻嘻嘻嘻嘻……	一看你的肺活量就很好，能哈这么长
我还是没结婚呢	你喜欢的男人还没女朋友呢
我要换个王者荣耀的头像	只有你才配得上你的头像，你是独特唯一的存在，冲呀！
我要发五个大句号	太厉害了，这五个句号比我用圆规画出来的还要圆润，有光泽
今天忘记补充腮红了	你本就沉鱼落雁闭月羞花
今天忘记用精油梳头发了	你的发型是我见过的最帅气最有魅力的
看镜子觉得自己的小酒窝变浅了	你竟然有这么可爱的酒窝，你的微笑一直都是沉鱼落雁一般的可爱
这张试卷只考了77分	你真的是冰雪聪明，气宇不凡
头发掉了好多好多啊	你的头发真美啊，即使如此，那种香味也让我心神恍惚
月亮被一片大乌云遮住了	不不不，那是你的光辉遮住了月亮
我身边的好看的女生好少啊	你身边女生虽然少，但都是单身漂亮的高质量女生
今天刚洗好的头发好干啊不开心	我的头发都油死了
刚洗好的脸好干燥不开心	哪像我的脸出油特别多又容易长痘痘
上周一周都在熬夜写稿件，还在审核当中	一定可以通过的
上周开始做了个推文终于要做完了	您如此爱岗敬业，一定特别优秀
前天晚上坐错地铁了，赶不上动车了	这样你又可以在这座城市多待几个小时陪陪女朋友了
买了吧新伞坏掉了	认清这款伞的质量特别差
刚买的手机进水了	你带外壳了啊，不用担心的
刚认识的室友们去烧烤了	晚上吃烧烤容易拉肚子的
前天刚买了并带了一个兔子的帽子	真是个小可爱呢
上个周末爸妈出去跳广场舞，我一个人在家	又可以玩游戏了
上个周末蹬被子发烧了	不发烧就不知道自己的恢复能力有多强，加油！
上个月每天早上我都会吃了一个冬枣	你肯定是个貌美如花的小姐姐，冬枣最好吃了
上周约会就要迟到了	没关系，你女朋友会理解的
上个星期逃课去洗澡	洗澡才是最重要的事情，不然脏着身体多难受啊
前天晚上嗓子好干好疼	这也从另一个角度看到了天气的变化，该穿上厚衣服了
前天早上未来看日出我从西湖走到了玉泉都没看到共享单车	锻炼身体天天向上
大前天鞋子被我踩到水里面了	没事的，你的鞋子是防水的
上个月头发剪得好难看	终于认清了这家理发店，以后再也不来了
大家好我是吴奇隆	你好有礼貌哦
上个月一直都没吃饱啊	又可以减肥了
我女朋友已经一个月不理我	又可以有时间打游戏了好开心
我头像好几年没换了	你果然是一个爱坚持爱学习的好孩子
新版的海贼王怎么还没更新	我这边有日本最新的一话，分享给你
最近一个月阳光好好啊	又可以晒被子了，好开心
最近一个星期又下雨了	又可以在宿舍学习了
最近一个学期感觉作业好多啊	还没到ddl呢，不慌
最近一个星期找不到实习好烦啊	多积累积累经验，你一定可以的
刚进宿舍我发现柜子的门是坏掉的	阿姨说可以免费报修哦
上周双十一买的纸巾马上用完了	刚好双十一啊，买纸巾超级便宜啊
唉真的是，我好冷啊	多穿几件衣服，你的新衣服已经在路上啦
刚剪完的头发有分叉了	刚好催你去剪头了呢
刚做完的spa脸上又长痘痘了	我刚好用了一款超级好用的护肤品，推荐给你
上周熬夜写大作业	你一定学到了很多知识，羡慕你
一直都没时间静下来好好学习	你一直在忙碌当中，一定很充实
在奔驰公司买错车子了	售车的说一年之内可以免费换哦
天堂伞又被我搞坏了	跟女友可以有借口买情侣伞啦
感冒喉咙好干啊	我这边有热水哦，倒给你一杯水
男朋友说他上周好忙啊	你有时间跟闺蜜出去买衣服啦
前年爸妈说我好吃懒做	你爸妈一定很爱你吧，还可以骂你关心你
上个月末胳膊摔到了	刚好办理了医报，不用花几块钱就可以拍片看病了
人工智能课程好忙啊	这些课程都是很有用的，你以后一定可以挣很多钱
我刚买的新钱包丢了	刚刚好你的钱包是空的！
这款hfp护肤品用了还是会长痘痘	以后再不买这一家了
今天自己做的饭好难吃	你竟然还会自己做饭，贤妻良母啊！
昨天又点了外卖	今天休息日，好好在家休息别出门了
前天我想吃鸡翅了	点外卖啊，外卖券好便宜
昨天我头发好少啊	大夏天的很凉快的
上周打球一分也没得	没关系，反正你们班赢了比赛
上个月镜子被我摔碎了	没事的你还有个立体的镜子
前年我脚踏两只船	你好厉害啊，教教我们怎么交友
昨天我鼻子好难受	多喝热水！
今天早上忘了涂眼霜了	求求你不要再打扮了，给其他女生留点自信
上个星期忘记穿袜子了	你不穿袜子更有特点
上周至今都忘记刮胡子了	你不刮胡子得样子更加有魅力了
从上个星期开始眼睛的度数又升高了	你一定非常热爱学习
昨天早上做饭不小心把盘子摔碎了	你竟然还会做饭，好厉害
上周早上忘记刷牙了	你吃了口香糖还是那么清新
一个月没剪手指甲，手指甲太长了	挖耳屎很方便啊
锻炼身体，手好酸啊	你一定是个爱岗敬业的好青年
一直以来我好饿啊	楼下刚开的餐馆，我请你去吃饭
瞪得我我眼睛好酸啊	我刚学了一套按摩眼睛得技巧，给你按摩
上个月脸上又起死皮了	这款护肤品可以给你试试，我觉得很好用的
上周末忘记穿内裤了	你不穿内裤真的好有特性啊！
上个星期没吃早饭	没事的，公司免费提供丰富的早饭
我前天晚上嘴唇好干啊	我这边刚好烧了一壶水
我上周末做饭把锅烧干了	时间还早，再烧一锅
我的头皮好痒啊	我还有一瓶新的洗发水给你用
我的手指好疼啊	我给你按摩一下做个spa吧
我的眼睛看东西越来越模糊了	我们一起去大光明配一副新的眼镜吧
丧到连动都不想动	想开点，好好休息也是赚钱
又失业了，年纪越来越大了	工作会有的
不到半年又要离职了	你这么聪明的人就该多尝试
升职考试失败	小可爱请继续加油呀
教资面试好像没过	别担心，一定会过的！
公务员面试没过	抱抱你，你一定可以的。
每天都好丧	坚持坚持吧
不想干了，拉黑了经理	一直拉黑一直爽
不爽，就想辞职了	哇，你真的好有魄力，学习！
要提交辞职了	梁静茹会给你勇气！
想辞职，离开单位	只是在执行自己的决定，加油啊！
好懒，不想工作…	加油，然后奖励自己一下哦！
今天发工资了求表扬	哇你的钱肯定特别多
实习好像又没过	认真活好每一天
还没有给我加薪	本事大了就行
感觉在公司不重要	说明你们企业文化不行
感觉每天要做的事变多了	说明你变强了
要毕业了很迷茫	很多公司抢着要培养，加油
说真的，好想辞职	辞职，不然一直纠结。
又要换工作了	这么美好你却不自知啊
感觉负能量满满	一定可以的！
我一无是处	哪有，您会发光
感觉我在无所事事	和家里人聊聊啊
成为待业者，难过	重整再出发，加油宝贝
月薪真的不够用啊	外面的太阳多舒服啊。
活着压力好大	提前祝您新年快乐吧
找工作一个月	可以享受生活啦
面试没啥进展	不要放弃！，会越来越好的
起晚了，上班迟到	那说明你睡眠好，身体健康！
老板莫名其妙，冲我发火	脾气这么差怎么当老板，还是你儒雅随和
主动辞职了	勇敢做自己，不被现实束缚，有想法
无法开始认真工作，陷入焦虑	说明你的水平高于这个项目
丢了工作，好久都没找到	丢了工作仍不暴躁，说明此人极为优雅
失眠到三点半，早上迟到了，现在坐在办公室脑子都是木的	失眠到三点半还坚持去上班，这是什么神仙毅力
今天忘了交项目	区区一个项目算什么，说明你心怀宇宙
感冒了，不想上班	感冒是人生中的一个小磨难，你已经在磨难中车沧海在那个，为你点赞！
感觉自己又焦虑又笨	真的猛士，敢于直视惨淡的人生。你是一个很猛的猛士。
刚做了个海报，发给你看看	黑色的背景，红色的字体，一看就是学过基础的！
今天又掉了好多头发	你竟然还有头发，夸！
刚进公司第一天就加班	996的制度下坚守岗位，真有责任感！
找到新工作啦	下一步就是升职加薪，遇到霸道总裁，帅比彭于晏，富过王思聪，最重要的特点就是专一。
工作中总是说大实话	领导，同事们，被你的诚实深深地打动，这个世道还有人能讲实话，我们缺的就是你这种人。
三个面试都成功了	太强了，吸
上班路上情绪爆发，走着走着控制不住眼泪	自从遵循人生新格言“不要怕，不要急，不要脸”之后，感觉好多了！
我真的找不到工作了	亲，一辈子还很长，不要气垒，塞翁失马，焉知祸福啊
失业的第十天	机会还很多呢 你试试换个方向，不要轻易放弃 你可以的
事业单位面试没过	第一次过了证明有实力，第二次只不过是一时没有转运
我的第一份工作，结束了	趁着现在好好享受假期吧，假期可是奢侈品
中级会计师考试过啦	恭喜恭喜，沾沾喜气
马上面试了，好紧张	顺便面试一下考官呀，毕竟双向选择
秋招又跪了一家	天将降大任于您，叭着急，您有实力基础，只要继续充电，绝对会有更好的公司挖掘您的
没有可以说说话的同事	孤独的时间更能让人思考和学习。
终于决定出去闯闯了	这个选择会是你灿烂人生的开始，如果没有，那也不会比这糟。
想辞掉工作，做热爱的事业	能做自己喜欢的事情，太棒了！
我想离职了	你看，马上就要新年了啦！新年会有新气象，到时候就可以脱离苦海。
秋招还没有收到录取通知	别着急，实在不行还有春招呢！
投了那么多简历，没有回复的	好事多磨，会遇到最适合自己的
两个月了找不到工作要崩溃	风物长宜放眼量，长久看这是人生的一个财富，好好去体会
可九点了还在床上玩手机	科学研究表明赖床的人更漂亮，因为睡眠充足
失业三个月，还没找到工作	没关系，你只是在养精蓄锐，好机会还在后头呢！
失业半年了，难受	只是暂时的，趁此机会可以给自己充充电
又丢了一份工作	修整一段时间 在这段时间充实自己，然后再重新出发呀！停下并不意味着停止有时候也是在蓄力啊
一年没工作了，感觉自己是个废物	竟然能撑过一年，说明还是有积蓄的！
我收到录取通知啦	真棒啊！希望你接下来的生活都顺顺利利啊
身边的同事都比我强	那说明你也很优秀啊，不然身边怎么都是优秀的人呢～
凌晨，刚下班	天啊，现在可以休息了吗？好好休息呀
今天有通宵加班了	好好睡一觉，等下去吃好吃的
今天我生日，但我一事无成	生日快乐，阳光总在风雨后
工作十分迷茫	加油，穿越乌云就有阳光！
试用期可能会被淘汰	不是你能力不足，是你的能力在这个公司发挥不出来而已
实习可能留不下来	没关系 就当放了一次假，悠长假期
梦见打代码到秃头	梦都是反的，放宽心
刚投了十份简历，很沮丧	现在还没出结果呢，别沮丧，说不定后面有惊喜呢
要毕业了，感觉自己好菜，找不到工作	年轻人，慢慢会有机会的
跳槽工资翻倍	哇哇锦鲤活捉
下周转行去面试，好紧张	能转行很有魄力呢，好好发挥
决定放弃考研，找工作	能够及时调整自己真棒！
行业不景气，可能被裁员		办法总比问题多！加油哇！！
不想妥协不喜欢的职位	实在是喜欢就再发邮件试试！实在是没回复我们也不伤心！命运会分配给最适合我们的东西的！
今天生日，中午被客户喷，晚上还被老板要求加班	生日快乐，未来会更好的
我找到了个兼职工作	不知道该说啥，因为我酸了哈哈哈哈哈
第一次找工作凉了	好东西都留在后头呢
待业结束，明天要去上班了	加油！你可以的！踏出第一步便是战胜自己！
为了年底旅行丢掉了一个很好的工作机会	工作可以找很多个，陪家人的时光只有很少的时间了
待业青年求安慰	休息就好好歇着，想工作就仔细筛选，下一份会更好
给公众号投稿过了，拿到了七百稿费	明明可以靠颜值吃饭，你非要靠实力
事业单位落选	下一个工作会更好的~
毕业了还没有工作	在家里闲暇时光，放轻松～
毕业后工作越来越顺了	职场真的很不容易啊，尽力做好的态度就很棒棒了
马上第一次实习了	哇，真年轻
又要涨工资了	哇塞！可以存下一点点用来准备以后想做的大事也可以富足平日，靠自己赚的钱变多真是太幸福了！
转岗又没转成功	你有拯救世界的能力！最好的永远都是最后出来的！加油 ！
找工作太难了	生活还是要继续，还要再努力点，再努力一点点，幸运女神就会来找你了！
找工作好难啊	你很好的，多些耐心，马上就会找到了
找个合适的工作好难啊	你会找到心仪的工作的，加油！
面试一个都没过	熬过去了就是，坦荡的未来
我被开除了	他们不懂自然会有人懂，你很棒啦
累死了还要加班	周末还辛勤工作，奖励小红花
要失业了，好害怕	不要害怕！还有下一个更好的工作！
毕业在家当废柴	加油 想想你的目标和理想
我好拖延啊	为沉着冷静点赞！
刚毕业，裸辞了	坚持呀，而且别降低自己的标准。
实习转正啦	成功征服老板，上位老板娘
我好难，想辞职	加油，说不定下一份工作会更好
天天在加班	有班上可以了
天天不想工作	很诚实，值得表扬
拿到了人生第一笔工资	哇，不错哦，记得晚饭给自己加鸡腿～
好不想上进啊	能够安于现状也是种福气，就怕身体不想上进，心却在躁动
上班第二天被辞退	可能是面试官问题，不要太在意，刚巴带！
拿到全勤奖啦	好厉害，坚持下来啦~保重身体呀~
月入终于过万了	求包养啊
不知道找什么工作好	做你想做的吧，如果你想努力那就努力，如果想放飞就放飞。
面试新工作，好紧张	能获得面试机会就是你的实力啊，真棒！面试加油
找工作发现好难	加油，等有更好的再去
我还没找到工作	明天会找到的
老板要我离职	这份工作也不会是你的终点 也不是你的起点
终于转正了	表扬你，给你一朵小红花
终于可以入职了	羡慕录取你的公司啊，它们都不晓得挖到了个什么宝贝员工！
躺尸的一天	如此悠闲的时光好羡慕！休息的时候就好好休息，这才是合理利用了时间啊！
工作又没有做完	做完就周末啦，加油
工作能力不行	只要都有进步，就非常好啦
我简直就是个废物	天生我材必有用
快被工作压垮了	还好没压垮！说明你很棒
快不想干了	还在干，证明你很有毅力
我不想学习了	坚持住，你可以的！坚持就会有收货的
大家都很优秀	大家一起努力
好几个月没工作了	上班会有好心同事一起玩耍啦，试试看呀
终于主动开始找工作了	踏出第一步你已经很棒了，好的开始是成功的一半
找工作半个月了	把简历美化下然后海投试试看吧，加油
每天工作都好自卑哦	没必要自卑，不懂就问
简历没通过	此处不留爷自有留爷处
真的不想上班了	但是你还是在坚持上班！你很努力了！
工作不顺心	其实你能挺过来这一系列事儿已经非常了不起了，加油
又是失眠的一夜啊	大家过得都很累，所以只能调整心态，让自己开心得累下去了。
今天工作丢了	开心点，下一个会更好
又失业了，难过	机会来了~你的理想工作可能不久会来到你的身边~
又丢了工作	工作也像找对象，不能靠一腔热血，也许没缘分，不合适，等等，总会找到合适的
找工作可太难了	耐心等待，好的工作会有的吖
面试又被拒了	加油 人在最放松的情境下最有魅力！不要紧绷，好运就会到来～
今天要去辞职啦	我不敢，好羡慕你的勇气，加油
去到新公司慌得一批	你很优秀的pk掉很多人才进来这家公司呢
工作太丧了	干就完啦
没钱不敢辞职	心里有数，不意气用事，在现有岗位上努力奋斗吧！
创业第一天也太惨	万事开头难！最难的你已经成功后迈出第一步！明天绝对会好的
感觉到了低谷期，好迷茫	人生只此一次，必须热爱啊
创业真的太累了	都是这样的呢，厚积薄发
想放弃创业了	想想钱!
今天突然被离职了	恭喜你，终于不用被老板虐了，工作会有的，慢慢找，会遇到好的
对生活好迷茫	和父母沟通下吧，他们是你真正的依靠
工作一直不顺利	好运会迟到，但不会缺席
为什么我的运气这么差啊	你的能力太强，以至于不需要运气，不过你的运气会被你的能力拉出来的
老板让我明天不要来了	一切都会是最好的安排！幸运会能量守恒的，加油
继续摸鱼坚持住	摸鱼一时爽，一直摸鱼一直爽
今天我离职了！	美好新生活开始辽～
找工作找到怀疑人生	好的东西都在后面
我又搞砸了	没事，下次更好就行
面临找工作，有点焦虑	现在想太多也没用，好好准备面试，多投一点简历，到时候综合选择最好的offer
最近一直找不到工作	总有属于你的工作在等你，注定就是你的，要加油呦
打算放弃这份工作	想好了就去做哦！
生活和工作让我焦虑	勇敢的面对生活的琐碎和苟且的你，值得宁静和自由
终于找到工作了	恭喜你 一切都会顺顺利利的！
终于去到心仪的公司了	恭喜你呀 很厉害呀
今天也要好好工作	心态好就好，冲鸭！
我真的好沮丧啊	请打开电视看看多少人为生命在努力勇敢的走下去
暑假找工作好难啊	还有暑假，你好年轻啊！
深夜却在加班	加油加油 注意安全啊
我还找不到工作	那么棒的你一定可以整理心情继续加油
第一次自己搬家	加油哦，会越来越好的
下午要去面试了	不紧张嗷深呼吸
一事无成的一天	平平安安的过了一天，表扬！
新岗位上班，有点恐惧	哈哈，那公司能招到你很幸运了。老板此刻都乐开花了
第一天上岗，害怕	勇敢去做害怕的事，其实也不过如此
找工作又失败了	失败是成功之母，你把成功的妈妈蹂躏了好多遍，自豪！
我再一次离职了	你好棒！很有勇气！我也想要这样的勇敢，蹭
难受想要鼓励/动力	诉自己现在的事对于未来的我来说微不足道！
事业单位成功上岸	优秀毕业生非你莫属
找不到工作，急	可能是更好的在等你哦，加油！
找到双休工作啦	你的生活多么幸福！
发展了一个副业	有勇气，后面增加很多智慧好好经营，挣大钱
辞职了，去创业了	你太棒了吧！想到什么就能马上行动，勇敢又有执行力
工作太难了，有点丧	摸摸头，不要悲伤，不要忧愁！
找不到合适的工作	所以你经历低谷，就会一路高升了鸭
工作真的很难找	多花点时间 要有信心 总会找到一个满意的
简历石沉大海	慢慢来，会找到一份心仪的工作的
想找一个双休的工作	待遇好，老板好的公司也很多，加油，可以找到的！
教师编制又挂了	再试试，下一次就成功啦
找到工作第一天	恭喜，好多人羡慕你都来不及呢
昨天的面试可能不通过	你是一位终究会心想事成的同学
面试超紧张	你这种现象很常见，能踏出这一步我觉得你很优秀
面试不知道说什么	起码能保证及时回答已经很厉害啦！
要不要去兼职	当然好呀
暑假工，今天辞职了	天好热，休息一下是正确的选择
突然觉得自己很失败	你好上进哦！
三支一扶笔试过了	太棒棒啦！面试也会有顺利的!
每天都好累	说明你在走上坡路啊
想辞职但是没存款	真的很需要一点改变和不在意别人眼光的勇气
上班到秃头	这是聪明绝顶，绝顶聪明啊！
工作到脱发	我每次露出伟岸的发际线，对方都会在气势上败下阵来。
最近在家歇业	有机会当然要好好休息啦
毕业了，没有找工作	现在不工作说明家里有矿啊！不错不错
公司通知说解散了	哇！终于有时间休息调整了！
公司倒闭了	羡慕，您又可以吃吃喝喝玩玩乐乐，重拾假期无止尽的日子惹，棒
要被裁员了	恭喜你，躲过了996～
我马上被裁了	终于不用看老板脸色了 开开心心玩一下
工作了几年的公司被解散了	哇，有解散费么。
挨了领导两轮骂	职场只注重结果，不要被情绪情怀包袱左右
没有合适的暑期工	以后还有几十年工作的时间，暑假不如花点时间多出去旅游
暑假找不到兼职	现在就是你玩的时候啊，好好玩玩吧
兼职都找不到	珍惜寒暑假啦，好好学习多出去走走比暑假工好，或者去公司实习也是挺好的
被辞退炒鱿鱼了	个工作可能根本就是个坑，被辞退焉知祸福呢
面试感觉不错，但是没进去	马云当年去肯德基应聘，25个人里招了24个人，就是没有他。
面试官不想和我聊了	是啊，生活总是这样的，是金子总会发光的吧
面试官劝退我了	说明公司也不适合你。如果没面试上的公司，我都觉得他们没眼光幸好没去
不愿将就去没底线的公司	加油啊，不忘初心很棒啦
好像换一个工作	坚持自己想做的
我觉得现在的工作好油腻啊	这年头有正直有原则的人不多了，希望楼主能找到好工作
有点想跳槽	那就试试，我想换好久了
担心面试了被拒绝	不要这样想，越这样想越容易紧张
马上要面试，好方	每次面试都只是一次选择，而且是双向选择
考研失败，公考失败	你是个奇才呀！天将降大任于斯人也那一段说的不就是你吗～
公务员考试没上	这说明有别的更好的路在等你
考研和考公都失败了	多数人都只准备一个的，再考一年一定可以啊
我考公失败了	会好起来的，会好的，人生还很长呢，抱抱你。
要4个我排名第5		好牛逼…
下个月收入要破万了	超级厉害呀，我工作了好几年才月入过万呢
很糟糕的一天	坚强的你，加油
找工作好累	你这刚开始就焦虑了？
面试失败了	小事情啊，继续加油！
觉得好负能量	安静安静就好，其实我也是
快坚持不下去了	抱抱，你一定要加油啊
我笔试第一	棒棒的！！！加油
新人上班要死了	您已经是正宗的社会主义接班人了！
又懒又穷又不上进	如果你很享受目前的生活状态，确实值得表扬。
工作一年今天被怼哭	好好睡一觉，明天又是崭新的一天
找不到工作，只能当咸鱼	你的梦想是什么～
最后一轮面试被刷了	说明你已经很强了！
身兼三职，加量不加价	良心员工
感觉自己未来会是个大佬	紧抱大腿蹭蹭
做兼职被坑	有钱还做兼职真的很努力了
早起工作还被骂	没事啦，勤劳的人一定会好起来的。
被领导怼到哭	慢慢就会成长的，你会变成善良且强大的人
一直没找到工作	工作会找你的
找工作不勇敢	加油就完事儿了
找工作好难	休息一下，继续
又是努力兼职的一天	今天的你也是超级优秀
今天又没有找到暑假工	好好休息，吃个西瓜，明天再来
成功入职了	可以！那工作的时候要继续加油哦！
又犯了同一个错误	下次一定不会咯
今天又去面试了	一定能666
面试之后还没回我	不用急，慢慢来
老板拖欠工资两天了	太棒了，不吃饭就能瘦了，瘦了就美了，美了就更自信了，自信了工作就有激情了，有激情事业就蒸蒸日上了，就慢慢走上人生巅峰了赞！
找不到暑假工，好烦啊	好勤奋啊，会找暑期工，慢慢来，需要人的地方很多的
好想和同学一起暑假工	多出去走走看看吧，否则以后没有暑假了，会天天上班，到时候不再有暑假这样悠闲的假期了
一事无成的我好难受	今晚好好休息，明天再接再厉！
裸辞一个月了，好颓废！	裸辞说明胆子很大啊，继续加油
我现在很难受	我不太会安慰人，先抱抱你吧！
最后一次暑假工	加油呢，小年轻
刚刚面了一个工作，好喜欢	金子马上要发光喽！
每次到了终面就开始紧张	已经比很多人厉害了啊！前面几轮“打败”了很多竞争对手了呢！
我发工资了	己挣钱好棒棒哦你
没能找到人生的方向	不要在创业的年纪一直为别人的想法努力
好喜欢现在的工作	羡慕那些找到一生所爱的事业的人
专业没什么用，感觉好迷茫	加油 做自己想做的事就好啦
面试结果杳无音信	总会有的，它在来的路上啦！
辞了工作，压力好大	你不是找不到工作，而是辞了已有的工作。说明你是一个不甘于平凡，勇于追求的人
